"subject_ID","p_cor_sex","p_cor_lang","p_cor_age","time_mins","fin_consent_mins","consent_to_fin_mins","max_RT_exp_trials","childcare","caregiver","age","gender","gender_text","country","country_text","hearing","eng_first","know_corp_lang","monolingual","n_attention_checks","n_audio_checks","var_sex","var_lang","var_age"
"3uny4qacpzz4o68",0.4,0.583333333333333,0.583333333333333,18.2291333333333,4.31676666666667,13.9123666666667,95082.9199999571,4,0,21,"Female","","Canada","","Yes","Yes","None","Yes",1,2,0.277777777777778,0.265151515151515,0.568181818181818
"3uscfmzkzyjjmzg",0.4,0.583333333333333,0.333333333333333,7.77958333333333,0.1653,7.61428333333333,20863.8899999205,1,0,19,"Male","","Canada","","Yes","Yes","None","No",1,1,0.277777777777778,0.265151515151515,0.568181818181818
"3xu8yp2sbgfsed7",0.3,0.416666666666667,0.416666666666667,12.4344833333333,0.7318,11.7026833333333,21613.9299999923,0,0,20,"Female","","Canada","","Yes","Yes","Spanish","Yes",6,1,0.266666666666667,0.265151515151515,0.272727272727273
"3ypemyjpete9m7e",0,0.5,0.25,26.9295333333333,0.989,25.9405333333333,171312,0,0,22,"Female","","Canada","","Yes","Yes","None","Yes",3,3,0.277777777777778,0.272727272727273,0.545454545454545
"41y5d0x1wncw9ay",0.5,0.416666666666667,0.25,8.42098333333333,0.5857,7.83528333333333,26792.3200000077,0,0,24,"Male","","Canada","","Yes","Yes","None","Yes",1,2,0.266666666666667,0.265151515151515,0.696969696969697
"4ath8reaen42o6h",0.5,0.416666666666667,0.333333333333333,14.4481166666667,0.6375,13.8106166666667,47801,0,0,18,"Female","female","Canada","Canada","Yes","Yes","None","Yes",1,2,0.266666666666667,0.204545454545455,0.568181818181818
"4bb7worfuhp1z7r",0.5,0.416666666666667,0.666666666666667,1044.66896666667,0.565033333333333,1044.10393333333,44566.4800000079,0,0,18,"Female","","Canada","","Yes","Yes","None","Yes",1,2,0.266666666666667,0.265151515151515,0.568181818181818
"4c6vvyvvpsgepqy",0.4,0.583333333333333,0.583333333333333,13.4921166666667,0.941833333333333,12.5502833333333,36485.7150000171,0,0,19,"Male","","Canada","","Yes","Yes","None","Yes",1,1,0.277777777777778,0.265151515151515,0.454545454545455
"4efv78zw25qeb30",0.6,0.416666666666667,0.5,11.0513833333333,0.167266666666667,10.8841166666667,95289.5749999734,0,2,19,"Male","","USA","","Yes","Yes","Spanish","No",2,1,0.277777777777778,0.265151515151515,0.696969696969697
"4eyawn8fee8m8rf",0.7,0.5,0.416666666666667,9.61645,0.0958666666666667,9.52058333333333,22325,0,0,21,"Male","male ","Canada","Canada","Yes","Yes","None","No",1,2,0.266666666666667,0.242424242424242,0.568181818181818
"4kru759gqnv04gg",0.4,0.666666666666667,0.5,8.22088333333333,0.185183333333333,8.0357,20985.8,0,0,20,"Male","","Canada","","Yes","Yes","None","No",2,5,0.277777777777778,0.242424242424242,0.909090909090909
"4lh8es54yhc00q9",0.6,0.333333333333333,0.583333333333333,10.078,0.08005,9.99795,20281,24,0,18,"Female","","Canada","","Yes","Yes","None","No",1,2,0.233333333333333,0.242424242424242,0.386363636363636
"4nacuaxjem04wr3",0.2,0.5,0.583333333333333,7.08823333333333,0.273783333333333,6.81445,24091.6750002652,0,0,19,"Male","","Canada","","Yes","Yes","None","Yes",1,2,0.277777777777778,0.272727272727273,0.446969696969697
"4nulopu4z74rcb1",0.7,0.416666666666667,0.583333333333333,14.2907,3.55533333333333,10.7353666666667,19291.5,0,0,20,"Male","","Canada","","Yes","Yes","None","Yes",1,2,0.266666666666667,0.265151515151515,0.787878787878788
"4o4rblvjbsf7rof",0.6,0.416666666666667,0.5,15.46125,0.79205,14.6692,41789.4,3,1,19,"Female","","Canada","","Yes","Yes","None","No",1,1,0.233333333333333,0.265151515151515,0.446969696969697
"4prcwv2gjt1s96f",0.6,0.416666666666667,0.25,8.43191666666667,0.21455,8.21736666666667,22684.5399999875,12,0,18,"Female","","Canada","","Yes","Yes","Spanish","No",1,1,0.277777777777778,0.265151515151515,0.386363636363636
"4rl6l29obr4e3x7",0.6,0.5,0.5,428.789166666667,0.171766666666667,428.6174,26042.3949999958,0,1,19,"Female","","Canada","","Yes","Yes","None","No",3,4,0.277777777777778,0.242424242424242,0.446969696969697
"4rs8bxh41n4qwlk",0.6,0.666666666666667,0.416666666666667,9.81593333333333,0.560466666666667,9.25546666666667,29541.3999999999,0,0,21,"Male","","Canada","","Yes","Yes","None","Yes",1,1,0.277777777777778,0.272727272727273,0.515151515151515
"4t8cgcx2vuyvzeg",0.5,0.333333333333333,0.5,19.3182166666667,4.21931666666667,15.0989,68915.0000000001,0,0,20,"Female","","Canada","","Yes","Yes","None","Yes",1,2,0.266666666666667,0.272727272727273,0.515151515151515
"4wpvnqbqr30fz2r",0.6,0.5,0.75,18.7542833333333,0.1114,18.6428833333333,33682.0200000075,0,0,18,"Male","","Canada","","Yes","Yes","None","No",5,1,0.277777777777778,0.242424242424242,0.75
